Year,Unrate
1948,3.75
1949,6.05
1950,5.208333333333333
1951,3.283333333333333
1952,3.025
1953,2.925
1954,5.591666666666667
1955,4.366666666666667
1956,4.125
1957,4.3
1958,6.841666666666667
1959,5.45
1960,5.541666666666667
1961,6.691666666666666
1962,5.566666666666666
1963,5.641666666666667
1964,5.158333333333333
1965,4.508333333333333
1966,3.7916666666666665
1967,3.8416666666666663
1968,3.5583333333333336
1969,3.4916666666666667
1970,4.983333333333333
1971,5.95
1972,5.6
1973,4.858333333333333
1974,5.641666666666667
1975,8.475
1976,7.7
1977,7.05
1978,6.066666666666666
1979,5.85
1980,7.175
1981,7.616666666666667
1982,9.708333333333334
1983,9.6
1984,7.508333333333334
1985,7.191666666666666
1986,7
1987,6.175
1988,5.491666666666667
1989,5.258333333333334
1990,5.616666666666667
1991,6.85
1992,7.491666666666667
1993,6.908333333333333
1994,6.1
1995,5.591666666666667
1996,5.408333333333333
1997,4.941666666666666
1998,4.5
1999,4.216666666666667
2000,3.966666666666667
2001,4.741666666666667
2002,5.783333333333333
2003,5.991666666666666
2004,5.541666666666667
2005,5.083333333333333
2006,4.608333333333333
2007,4.616666666666667
2008,5.8
2009,9.283333333333333
2010,9.608333333333334
2011,8.933333333333334
2012,8.075
2013,7.358333333333333
2014,6.158333333333333
2015,5.275
2016,4.875
2017,4.358333333333333
2018,3.8916666666666666
2019,3.675
2020,8.091666666666667
2021,5.358333333333333
2022,3.6714285714285713
