date1,date2,date3,date4,date5,date6,date7,date8,pce,pop,psavert,uempmed,unemploy
1967-07-01,19670701,1967m7,Jul 1967,"July 01, 1967",01-Jul-1967,July 01 (1967),07/01/67,506.7,198712,12.6,4.5,2944
1967-08-01,19670801,1967m8,Aug 1967,"August 01, 1967",01-Aug-1967,August 01 (1967),08/01/67,509.8,198911,12.6,4.7,2945
1967-09-01,19670901,1967m9,Sep 1967,"September 01, 1967",01-Sep-1967,September 01 (1967),09/01/67,515.6,199113,11.9,4.6,2958
1967-10-01,19671001,1967m10,Oct 1967,"October 01, 1967",01-Oct-1967,October 01 (1967),10/01/67,512.2,199311,12.9,4.9,3143
1967-11-01,19671101,1967m11,Nov 1967,"November 01, 1967",01-Nov-1967,November 01 (1967),11/01/67,517.4,199498,12.8,4.7,3066
1967-12-01,19671201,1967m12,Dec 1967,"December 01, 1967",01-Dec-1967,December 01 (1967),12/01/67,525.1,199657,11.8,4.8,3018
1968-01-01,19680101,1968m1,Jan 1968,"January 01, 1968",01-Jan-1968,January 01 (1968),01/01/68,530.9,199808,11.7,5.1,2878
1968-02-01,19680201,1968m2,Feb 1968,"February 01, 1968",01-Feb-1968,February 01 (1968),02/01/68,533.6,199920,12.3,4.5,3001
1968-03-01,19680301,1968m3,Mar 1968,"March 01, 1968",01-Mar-1968,March 01 (1968),03/01/68,544.3,200056,11.7,4.1,2877
1968-04-01,19680401,1968m4,Apr 1968,"April 01, 1968",01-Apr-1968,April 01 (1968),04/01/68,544,200208,12.3,4.6,2709
1968-05-01,19680501,1968m5,May 1968,"May 01, 1968",01-May-1968,May 01 (1968),05/01/68,549.8,200361,12,4.4,2740
1968-06-01,19680601,1968m6,Jun 1968,"June 01, 1968",01-Jun-1968,June 01 (1968),06/01/68,556.3,200536,11.7,4.4,2938
1968-07-01,19680701,1968m7,Jul 1968,"July 01, 1968",01-Jul-1968,July 01 (1968),07/01/68,563.2,200706,10.7,4.5,2883
1968-08-01,19680801,1968m8,Aug 1968,"August 01, 1968",01-Aug-1968,August 01 (1968),08/01/68,567,200898,10.5,4.2,2768
1968-09-01,19680901,1968m9,Sep 1968,"September 01, 1968",01-Sep-1968,September 01 (1968),09/01/68,568.2,201095,10.6,4.6,2686
1968-10-01,19681001,1968m10,Oct 1968,"October 01, 1968",01-Oct-1968,October 01 (1968),10/01/68,571.6,201290,10.8,4.8,2689
1968-11-01,19681101,1968m11,Nov 1968,"November 01, 1968",01-Nov-1968,November 01 (1968),11/01/68,576.7,201466,10.6,4.4,2715
1968-12-01,19681201,1968m12,Dec 1968,"December 01, 1968",01-Dec-1968,December 01 (1968),12/01/68,576.5,201621,11.1,4.4,2685
1969-01-01,19690101,1969m1,Jan 1969,"January 01, 1969",01-Jan-1969,January 01 (1969),01/01/69,583.5,201760,10.3,4.4,2718
1969-02-01,19690201,1969m2,Feb 1969,"February 01, 1969",01-Feb-1969,February 01 (1969),02/01/69,588.7,201881,9.7,4.9,2692
1969-03-01,19690301,1969m3,Mar 1969,"March 01, 1969",01-Mar-1969,March 01 (1969),03/01/69,588.9,202023,10.2,4,2712
1969-04-01,19690401,1969m4,Apr 1969,"April 01, 1969",01-Apr-1969,April 01 (1969),04/01/69,593.9,202161,9.7,4,2758
1969-05-01,19690501,1969m5,May 1969,"May 01, 1969",01-May-1969,May 01 (1969),05/01/69,600.3,202331,10.1,4.2,2713
1969-06-01,19690601,1969m6,Jun 1969,"June 01, 1969",01-Jun-1969,June 01 (1969),06/01/69,600.9,202507,11.1,4.4,2816
1969-07-01,19690701,1969m7,Jul 1969,"July 01, 1969",01-Jul-1969,July 01 (1969),07/01/69,602.7,202677,11.8,4.4,2868
1969-08-01,19690801,1969m8,Aug 1969,"August 01, 1969",01-Aug-1969,August 01 (1969),08/01/69,609.9,202877,11.5,4.4,2856
