Year,Black,White,Source
1790,757208,3172006,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1800,1002037,4306446,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1810,1377808,5862073,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1820,1771656,7866797,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1830,2328642,10532060,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1840,2873648,14189705,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1850,3638808,19553068,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1860,4441830,26922537,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1870,4880009,33589377,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1880,6580793,43402970,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1890,7488676,55101258,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1900,8833994,66809196,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1910,9827763,81731957,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1920,10463131,94820915,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1930,11891143,110286740,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1940,12865518,118214870,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1950,15042286,134942028,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1960,18871831,158831732,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1970,22580289,177748975,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1980,26495025,188371622,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
1990,29986060,199686070,Census https://www.census.gov/content/dam/Census/library/working-papers/2002/demo/POP-twps0056.pdf
2000,34658190,211460626,NHGIS Persons: Black or African American (single race);  Persons: White (single race)
2010,38929319,223553265,NHGIS Persons: Black or African American (single race);  Persons: White (single race)
2020,41100000,204300000,https://www.census.gov/content/dam/Census/newsroom/press-kits/2021/redistricting/20210812-presentation-redistricting-jones.pdf
