Part,Question,Concept,Tasks,Points
1,1,Canvas,Create canvas account,1
,2,Canvas,Set up Notifications (screenshot),1
,3,Canvas,Set time zone (screenshot),1
2,1,Canvas,Discussion board post,1
,2,Email,Email econ181@frb.gov,1
3,3.1-3.3,New .R script and downloading  data,Make a new script in Rstudio Cloud to complete HW.,1
,,,Go to Canvas and find annual_gdp.csv to download.,
,2.1,Load libraries,Load tidyverse and ggplot2,2
,,,,
,2.2,Read in .csv,Use the read_csv function,1
,3.1,Display data,Use the head function,1
,3.2,Find the number of rows,Could use glimpse() or summary() or View() or Rstudio environment.,2
,,,Must include written explanation as a comment for full points,
,3.3,Find the number of columns,Could use glimpse() or summary() or View() or Rstudio environment.,2
,,,Must include written explanation as a comment for full points,
,4.1,Create new variables,Use mutate() to create new GDPT variable,1
,4.2,Create new variables,Use lag() and mutate() to create new GDPL variable,1
,4.3,Create new variables,Use mutate() to calculate percent change,1
,5,Write to csv,Correctly use write_csv,1
,6,Compute summary stats,Correctly use summary(),1
,7,Plot using ggplot2,Correctly use ggplot() and geom_line() for each plot (2 pts each plot),4
,8,Describing data,Describe 3 key features of plots,3
,9.1,Subset data,Correctly use filter() and assign to a new data frame,2
,9.2,Subset data,Correctly use filter() and assign to a new data frame,2
,10,Compute summary stats,Correctly use summary(),2
,,,(1 pt for each data frame),
,11.1,Describe results,Open answer,1
,11.2,Interpret results,Open answer,1
Total,,,,34
